dataset,model,method,mean,std,baseline,delta,abs_delta,removed_pct,efficiency,improved,avg_removed_pct
phoneme,randomforest,ZScore,0.87382,0.00359,0.87345,0.0003700000000000925,0.0003700000000000925,2.5700000000000003,0.0001439688715953667,True,8.069230769230769
phoneme,randomforest,IsolationForest,0.87549,0.00278,0.87345,0.0020400000000000418,0.0020400000000000418,4.97,0.00041046277665996816,True,4.9772727272727275
phoneme,randomforest,IQR,0.84792,0.0059,0.87345,-0.02552999999999994,0.02552999999999994,22.189999999999998,-0.0011505182514646212,False,26.813076923076924
pol,randomforest,ZScore,0.89093,0.00691,0.97898,-0.08804999999999996,0.08804999999999996,35.99,-0.0024465129202556253,False,8.069230769230769
pol,randomforest,IsolationForest,0.97838,0.00156,0.97898,-0.0005999999999999339,0.0005999999999999339,5.0,-0.00011999999999998679,False,4.9772727272727275
pol,randomforest,IQR,0.67496,0.01156,0.97898,-0.30401999999999996,0.30401999999999996,88.55,-0.003433314511575381,False,26.813076923076924
socmob,randomforest,ZScore,1599.23628,264.33301,1506.15433,93.08195,93.08195,1.38,67.45068840579711,True,8.069230769230769
socmob,randomforest,IsolationForest,1914.29603,40.13602,1506.15433,408.1416999999999,408.1416999999999,4.9,83.2942244897959,True,4.9772727272727275
socmob,randomforest,IQR,1851.77647,19.67277,1506.15433,345.62213999999994,345.62213999999994,13.96,24.758032951289394,True,26.813076923076924
vehicle,randomforest,ZScore,0.72588,0.01153,0.71765,0.00822999999999996,0.00822999999999996,3.2199999999999998,0.002555900621118,True,8.069230769230769
vehicle,randomforest,IsolationForest,0.73176,0.02371,0.71765,0.014109999999999956,0.014109999999999956,4.96,0.00284475806451612,True,4.9772727272727275
vehicle,randomforest,IQR,0.72941,0.0244,0.71765,0.011759999999999993,0.011759999999999993,6.11,0.001924713584288051,True,26.813076923076924
Bank_Customer_Churn_Dataset,xgboost,ZScore,0.8251,0.01037,0.8221,0.0029999999999998916,0.0029999999999998916,2.1999999999999997,0.0013636363636363145,True,8.069230769230769
Bank_Customer_Churn_Dataset,xgboost,IsolationForest,0.8226,0.01087,0.8221,0.0004999999999999449,0.0004999999999999449,4.9799999999999995,0.00010040160642569176,True,4.9772727272727275
Bank_Customer_Churn_Dataset,xgboost,IQR,0.825,0.00986,0.8221,0.0028999999999999027,0.0028999999999999027,4.36,0.0006651376146788767,True,26.813076923076924
