dataset,model,detector,treatment,mean,std,train_size,removed,removed_pct,clipped_values,clipped_rows,clipped_pct,outlier_pct,time
cmc,xgboost,Percentile,clip,0.500339,0.006287,942,0.00,0.000000,97.40,91.20,0.096815,0.096815,0.137
cmc,xgboost,IsolationForest,remove,0.508475,0.017679,895,46.60,0.049469,0.00,0.00,0.000000,0.049469,0.128
cmc,xgboost,LOF,remove,0.502373,0.016243,894,47.40,0.050318,0.00,0.00,0.000000,0.050318,0.173
cmc,xgboost,Autoencoder,remove,0.499661,0.013146,891,51.00,0.054140,0.00,0.00,0.000000,0.054140,0.133
cmc,randomforest,None,remove,0.517966,0.011821,942,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.236
cmc,randomforest,ZScore,remove,0.509831,0.011664,928,13.60,0.014437,0.00,0.00,0.000000,0.014437,0.234
cmc,randomforest,ZScore,clip,0.518644,0.014853,942,0.00,0.000000,13.60,13.60,0.014437,0.014437,0.222
cmc,randomforest,Percentile,remove,0.484746,0.021864,850,91.20,0.096815,0.00,0.00,0.000000,0.096815,0.211
cmc,randomforest,Percentile,clip,0.498983,0.012014,942,0.00,0.000000,97.40,91.20,0.096815,0.096815,0.233
cmc,randomforest,IsolationForest,remove,0.504407,0.013457,895,46.60,0.049469,0.00,0.00,0.000000,0.049469,0.228
cmc,randomforest,LOF,remove,0.512542,0.016799,894,47.40,0.050318,0.00,0.00,0.000000,0.050318,0.235
cmc,randomforest,Autoencoder,remove,0.494915,0.012128,891,51.00,0.054140,0.00,0.00,0.000000,0.054140,0.226
connect-4,mlp,None,remove,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,32.979
connect-4,mlp,ZScore,remove,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,32.646
connect-4,mlp,ZScore,clip,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,33.097
connect-4,mlp,Percentile,remove,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,32.887
connect-4,mlp,Percentile,clip,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,32.353
connect-4,mlp,IsolationForest,remove,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,32.434
connect-4,mlp,LOF,remove,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,32.440
connect-4,mlp,Autoencoder,remove,0.778641,0.004442,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,32.638
connect-4,xgboost,None,remove,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.911
connect-4,xgboost,ZScore,remove,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.948
connect-4,xgboost,ZScore,clip,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.962
connect-4,xgboost,Percentile,remove,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.933
connect-4,xgboost,Percentile,clip,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.962
connect-4,xgboost,IsolationForest,remove,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,0.964
connect-4,xgboost,LOF,remove,0.828079,0.001245,43236,0.00,0.000000,0.00,0.00,0.000000,0.000000,1.005
