dataset,model,outlier,mean,std,min,max,train_size,removed,removed_pct,time
elevators,xgboost,IQR,0.00001,0.00000,0.00001,0.00001,10623,4917.00,0.4629,0.232
elevators,randomforest,None,0.00001,0.00000,0.00001,0.00001,10623,0.00,0.0000,5.026
elevators,randomforest,ZScore,0.00001,0.00000,0.00001,0.00001,10623,1327.60,0.1250,4.197
elevators,randomforest,IsolationForest,0.00001,0.00000,0.00001,0.00001,10623,531.20,0.0500,4.469
elevators,randomforest,IQR,0.00001,0.00000,0.00001,0.00001,10623,4917.00,0.4629,2.305
eucalyptus,mlp,None,0.54595,0.02783,0.50676,0.57432,470,0.00,0.0000,0.502
eucalyptus,mlp,ZScore,0.54595,0.02783,0.50676,0.57432,470,0.00,0.0000,0.496
eucalyptus,mlp,IQR,0.54595,0.02783,0.50676,0.57432,470,0.00,0.0000,0.492
eucalyptus,xgboost,None,0.57973,0.01977,0.54730,0.60811,470,0.00,0.0000,1.204
eucalyptus,xgboost,ZScore,0.57973,0.01977,0.54730,0.60811,470,0.00,0.0000,1.155
eucalyptus,xgboost,IQR,0.57973,0.01977,0.54730,0.60811,470,0.00,0.0000,1.112
eucalyptus,randomforest,None,0.57568,0.01930,0.56081,0.60811,470,0.00,0.0000,0.221
eucalyptus,randomforest,ZScore,0.57568,0.01930,0.56081,0.60811,470,0.00,0.0000,0.235
eucalyptus,randomforest,IQR,0.57568,0.01930,0.56081,0.60811,470,0.00,0.0000,0.230
eye_movements,mlp,None,0.39973,0.01227,0.37797,0.41225,6998,0.00,0.0000,8.078
eye_movements,mlp,ZScore,0.40512,0.01676,0.37888,0.42962,6998,1323.20,0.1891,6.954
eye_movements,mlp,IsolationForest,0.40484,0.02190,0.36883,0.42870,6998,348.80,0.0498,7.796
eye_movements,mlp,IQR,0.38656,0.01317,0.36974,0.40859,6998,4012.40,0.5734,3.499
eye_movements,xgboost,None,0.48400,0.03913,0.43190,0.54342,6998,0.00,0.0000,5.592
eye_movements,xgboost,ZScore,0.46782,0.02218,0.42413,0.48263,6998,1323.20,0.1891,1.554
eye_movements,xgboost,IsolationForest,0.48867,0.03239,0.44927,0.54388,6998,348.80,0.0498,2.541
eye_movements,xgboost,IQR,0.42258,0.00956,0.41088,0.43739,6998,4012.40,0.5734,1.325
eye_movements,randomforest,None,0.31654,0.04205,0.28154,0.39717,6998,0.00,0.0000,2.870
eye_movements,randomforest,ZScore,0.33364,0.02438,0.28611,0.35420,6998,1323.20,0.1891,2.386
eye_movements,randomforest,IsolationForest,0.33236,0.03906,0.29159,0.39945,6998,348.80,0.0498,2.660
eye_movements,randomforest,IQR,0.34388,0.02732,0.30850,0.38528,6998,4012.40,0.5734,1.141
house_16H,mlp,None,0.85745,0.00212,0.85545,0.86138,8632,0.00,0.0000,7.181
house_16H,mlp,ZScore,0.85419,0.00377,0.84841,0.85915,8632,1350.20,0.1564,6.267
house_16H,mlp,IsolationForest,0.85812,0.00358,0.85285,0.86212,8632,432.00,0.0500,7.036
house_16H,mlp,IQR,0.80082,0.01768,0.77539,0.82876,8632,4557.80,0.5280,3.650
house_16H,xgboost,None,0.87709,0.00322,0.87435,0.88139,8632,0.00,0.0000,0.835
house_16H,xgboost,ZScore,0.87087,0.00294,0.86620,0.87509,8632,1350.20,0.1564,0.540
house_16H,xgboost,IsolationForest,0.87546,0.00117,0.87398,0.87732,8632,432.00,0.0500,0.701
house_16H,xgboost,IQR,0.87035,0.00265,0.86620,0.87398,8632,4557.80,0.5280,0.730
house_16H,randomforest,None,0.87702,0.00285,0.87435,0.88213,8632,0.00,0.0000,4.124
house_16H,randomforest,ZScore,0.86842,0.00204,0.86546,0.87139,8632,1350.20,0.1564,3.276
house_16H,randomforest,IsolationForest,0.87643,0.00121,0.87509,0.87806,8632,432.00,0.0500,3.733
house_16H,randomforest,IQR,0.86205,0.00321,0.85656,0.86546,8632,4557.80,0.5280,1.549
kc1,mlp,None,0.86019,0.00687,0.85308,0.86967,1349,0.00,0.0000,1.180
kc1,mlp,ZScore,0.85498,0.01369,0.83412,0.86967,1349,133.00,0.0986,0.999
kc1,mlp,IsolationForest,0.86066,0.00784,0.84834,0.86967,1349,67.60,0.0501,1.153
