dataset,model,outlier,run,score
cmc,xgboost,IQR,4,0.46441
cmc,randomforest,None,0,0.46780
cmc,randomforest,None,1,0.45424
cmc,randomforest,None,2,0.46102
cmc,randomforest,None,3,0.47458
cmc,randomforest,None,4,0.44407
cmc,randomforest,ZScore,0,0.47119
cmc,randomforest,ZScore,1,0.47119
cmc,randomforest,ZScore,2,0.48136
cmc,randomforest,ZScore,3,0.48136
cmc,randomforest,ZScore,4,0.45085
cmc,randomforest,IsolationForest,0,0.38644
cmc,randomforest,IsolationForest,1,0.40000
cmc,randomforest,IsolationForest,2,0.38305
cmc,randomforest,IsolationForest,3,0.39661
cmc,randomforest,IsolationForest,4,0.41017
cmc,randomforest,LOF,0,0.47458
cmc,randomforest,LOF,1,0.46780
cmc,randomforest,LOF,2,0.49492
cmc,randomforest,LOF,3,0.46780
cmc,randomforest,LOF,4,0.47797
cmc,randomforest,IQR,0,0.45763
cmc,randomforest,IQR,1,0.44407
cmc,randomforest,IQR,2,0.45424
cmc,randomforest,IQR,3,0.43390
cmc,randomforest,IQR,4,0.44407
cmc,linear,None,0,0.49492
cmc,linear,None,1,0.49492
cmc,linear,None,2,0.49492
cmc,linear,None,3,0.49492
cmc,linear,None,4,0.49492
cmc,linear,ZScore,0,0.46780
cmc,linear,ZScore,1,0.46780
cmc,linear,ZScore,2,0.46780
cmc,linear,ZScore,3,0.46780
cmc,linear,ZScore,4,0.46780
cmc,linear,IsolationForest,0,0.45763
cmc,linear,IsolationForest,1,0.45763
cmc,linear,IsolationForest,2,0.45763
cmc,linear,IsolationForest,3,0.45763
cmc,linear,IsolationForest,4,0.45763
cmc,linear,LOF,0,0.49492
cmc,linear,LOF,1,0.49492
cmc,linear,LOF,2,0.49492
cmc,linear,LOF,3,0.49492
cmc,linear,LOF,4,0.49492
cmc,linear,IQR,0,0.45424
cmc,linear,IQR,1,0.45424
cmc,linear,IQR,2,0.45424
cmc,linear,IQR,3,0.45424
cmc,linear,IQR,4,0.45424
credit-g,mlp,None,0,0.70000
credit-g,mlp,None,1,0.38500
credit-g,mlp,None,2,0.69500
credit-g,mlp,None,3,0.71500
credit-g,mlp,None,4,0.70000
cmc,mlp,None,0,42,0.60000
cmc,mlp,None,1,43,0.58305
cmc,mlp,None,2,44,0.58644
cmc,mlp,None,3,45,0.58983
cmc,mlp,None,4,46,0.57627
cmc,mlp,None,0,42,0.60000
cmc,mlp,None,1,43,0.58305
cmc,mlp,None,2,44,0.58644
cmc,mlp,None,3,45,0.58983
cmc,mlp,None,4,46,0.57627
cmc,mlp,ZScore,0,42,0.60000
cmc,mlp,ZScore,1,43,0.58305
cmc,mlp,ZScore,2,44,0.58644
cmc,mlp,ZScore,3,45,0.58983
cmc,mlp,ZScore,4,46,0.57627
cmc,mlp,IsolationForest,0,42,0.60000
cmc,mlp,IsolationForest,1,43,0.58305
cmc,mlp,IsolationForest,2,44,0.58644
cmc,mlp,IsolationForest,3,45,0.58983
cmc,mlp,IsolationForest,4,46,0.57627
cmc,mlp,IQR,0,42,0.60000
cmc,mlp,IQR,1,43,0.58305
cmc,mlp,IQR,2,44,0.58644
cmc,mlp,IQR,3,45,0.58983
cmc,mlp,IQR,4,46,0.57627
cmc,xgboost,None,0,42,0.51186
cmc,xgboost,None,1,43,0.51186
cmc,xgboost,None,2,44,0.51186
cmc,xgboost,None,3,45,0.51186
cmc,xgboost,None,4,46,0.51186
cmc,xgboost,ZScore,0,42,0.51186
cmc,xgboost,ZScore,1,43,0.51186
cmc,xgboost,ZScore,2,44,0.51186
cmc,xgboost,ZScore,3,45,0.51186
cmc,xgboost,ZScore,4,46,0.51186
cmc,xgboost,IsolationForest,0,42,0.51186
cmc,xgboost,IsolationForest,1,43,0.51186
cmc,xgboost,IsolationForest,2,44,0.51186
cmc,xgboost,IsolationForest,3,45,0.51186
cmc,xgboost,IsolationForest,4,46,0.51186
cmc,xgboost,IQR,0,42,0.51186
cmc,xgboost,IQR,1,43,0.51186
cmc,xgboost,IQR,2,44,0.51186
cmc,xgboost,IQR,3,45,0.51186
cmc,xgboost,IQR,4,46,0.51186
cmc,randomforest,None,0,42,0.52203
cmc,randomforest,None,1,43,0.52881
cmc,randomforest,None,2,44,0.52542
cmc,randomforest,None,3,45,0.55254
cmc,randomforest,None,4,46,0.52881
cmc,randomforest,ZScore,0,42,0.52203
cmc,randomforest,ZScore,1,43,0.52881
cmc,randomforest,ZScore,2,44,0.52542
cmc,randomforest,ZScore,3,45,0.55254
cmc,randomforest,ZScore,4,46,0.52881
cmc,randomforest,IsolationForest,0,42,0.52203
cmc,randomforest,IsolationForest,1,43,0.52881
cmc,randomforest,IsolationForest,2,44,0.52542
cmc,randomforest,IsolationForest,3,45,0.55254
cmc,randomforest,IsolationForest,4,46,0.52881
cmc,randomforest,IQR,0,42,0.52203
cmc,randomforest,IQR,1,43,0.52881
cmc,randomforest,IQR,2,44,0.52542
cmc,randomforest,IQR,3,45,0.55254
cmc,randomforest,IQR,4,46,0.52881
cmc,mlp,None,0,42,0.57627
cmc,mlp,None,1,43,0.58644
cmc,mlp,None,2,44,0.59661
cmc,mlp,None,3,45,0.58983
cmc,mlp,None,4,46,0.57627
cmc,mlp,ZScore,0,42,0.57627
cmc,mlp,ZScore,1,43,0.58644
cmc,mlp,ZScore,2,44,0.59661
cmc,mlp,ZScore,3,45,0.58983
cmc,mlp,ZScore,4,46,0.57627
cmc,mlp,IsolationForest,0,42,0.57288
cmc,mlp,IsolationForest,1,43,0.58644
cmc,mlp,IsolationForest,2,44,0.59661
cmc,mlp,IsolationForest,3,45,0.58983
cmc,mlp,IsolationForest,4,46,0.57627
cmc,mlp,IQR,0,42,0.57627
cmc,mlp,IQR,1,43,0.58644
cmc,mlp,IQR,2,44,0.59661
